,0
0,"[4/24/20, 10:03:29 AM] Joe: Alright I guess I’m up. I was trying to go back to sleep for an more than an hour but it wasn’t happening
"
1,"[4/24/20, 10:23:57 AM] Joe: Haha I told you I was downloading it!
"
2,"‎[4/24/20, 10:24:23 AM] Joe: ‎image omitted
"
3,"[4/24/20, 10:26:18 AM] Joe: Yeah I don’t know why I can’t just stay asleep 😴
"
4,"[4/24/20, 10:29:07 AM] Joe: Si
"
5,"[4/24/20, 10:29:56 AM] Joe: Might as well get out since I couldn’t sleep I guess
"
6,"[4/24/20, 10:36:49 AM] Joe: I wake up with the sun no matter where I am hahaha
"
7,"[4/24/20, 11:09:04 AM] Joe: Oh yeah super close to the beach haha. I have to drive nicest beaches but there are some decent small beaches I can walk or skate to.
"
8,"[4/24/20, 11:09:37 AM] Joe: The town is called Kailua-Kona
"
9,"[4/24/20, 11:47:54 AM] Joe: Thanks! Before quarantine I was skating to the beach everyday and I was loving it. Definitely need a beach near by wherever I end up.
"
10,"[4/24/20, 11:49:52 AM] Joe: Haha yeah Kailua is kind of a tourist town but it’s cool and really mellow compared to Honolulu
"
11,"[4/24/20, 12:13:57 PM] Joe: I can’t skate into town where all the good skate spots are now and I can’t skate to the good beaches either but it’s ok to skate down the road. Skating the road is fine for exercise but I want to actually skate fun spots 😂
"
12,"[4/24/20, 12:15:58 PM] Joe: I’ve never been to Honolulu but I doubt I would like it haha. Too many humans and it’s like a fake Hawaii. 
"
13,"[4/24/20, 12:46:10 PM] Joe: There isn’t much near me but the main road and some hotels. The fun places are just random spots downtown. Ledges, benches, rails, & stairs but they’re all in an area we’re not supposed to be.
"
14,"[4/24/20, 12:48:23 PM] Joe: I’d love to show it to you anytime ☺️
"
15,"[4/24/20, 1:25:44 PM] Joe: Hahahahaha
"
16,"[4/24/20, 1:30:39 PM] Joe: So what time do you normally get up in the mornings(when you don’t have to do your course)? Do you like to sleep in?
"
17,"[4/24/20, 1:59:54 PM] Joe: eso está bien, enviar todos los gifs jaja no se detienen
"
18,"[4/24/20, 2:03:51 PM] Joe: That’s cool. I might stay in bed longer if I had a reason to hahaha
"
19,"‎[4/24/20, 2:55:09 PM] Joe: ‎image omitted
"
20,"[4/24/20, 3:09:26 PM] Joe: cuidado, usted podría obtener lo que usted pide jaja
"
21,"[4/24/20, 3:11:01 PM] Joe: I don’t know who it was hahaha I must look like I smoke 😂 💨
"
22,"[4/24/20, 3:18:06 PM] Joe: It was free! They just gave it to me. It was weird but I’ll take it haha
"
23,"[4/24/20, 3:19:05 PM] Joe: Muchas gracias 🙏🏽
"
24,"[4/24/20, 3:19:19 PM] Joe: Yeah 🤷🏽‍♂️
"
25,"[4/24/20, 3:19:26 PM] Joe: People are nice out here haha
"
26,"[4/24/20, 3:19:57 PM] Joe: It was an older couple driving by in their car 🚗
"
27,"[4/24/20, 3:22:22 PM] Joe: Am I going to get murdered?? 😱
"
28,"[4/24/20, 3:23:24 PM] Joe: Cause to strangers on the internet and taking weed from old people seems like a good way to get murdered hahahaha I better shape up
"
